timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], clocks_throttle_reasons.gpu_idle, clocks_throttle_reasons.applications_clocks_setting, clocks_throttle_reasons.sw_power_cap, clocks_throttle_reasons.hw_slowdown
2020/11/21 06:58:18.842, 135.48 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:58:20.846, 135.58 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:58:22.849, 133.89 W, 1342 MHz, 6800 MHz, 1342 MHz, Not Active, Not Active, Not Active, Active
2020/11/21 06:58:24.853, 172.95 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:58:26.858, 169.35 W, 1830 MHz, 6800 MHz, 1830 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 06:58:28.864, 93.66 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 06:58:30.869, 195.78 W, 1995 MHz, 6800 MHz, 1995 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:58:32.873, 197.74 W, 1995 MHz, 6800 MHz, 1995 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 06:58:34.881, 197.54 W, 1995 MHz, 6800 MHz, 1995 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:58:36.886, 197.49 W, 1995 MHz, 6800 MHz, 1995 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:58:38.890, 95.81 W, 2010 MHz, 7000 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:58:40.895, 38.46 W, 675 MHz, 5000 MHz, 675 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 06:58:42.928, 34.68 W, 270 MHz, 810 MHz, 270 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 06:58:44.961, 25.38 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 06:58:46.999, 22.59 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 06:58:49.038, 22.55 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 06:58:51.076, 47.98 W, 1755 MHz, 6800 MHz, 1755 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:58:53.103, 150.14 W, 2025 MHz, 6800 MHz, 2025 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:58:55.107, 145.65 W, 2025 MHz, 6800 MHz, 2025 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 06:58:57.113, 132.04 W, 2025 MHz, 6800 MHz, 2025 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:58:59.120, 136.47 W, 2025 MHz, 6800 MHz, 2025 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:59:01.124, 160.91 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:59:03.128, 164.23 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 06:59:05.131, 195.25 W, 1905 MHz, 6800 MHz, 1905 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 06:59:07.137, 127.26 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
